peak_id	transcription_factor	comparison	SqDiff
MM1_HSA_HEK293_ZNF189	ZNF189	ZNF341	0.06821993409525337
MM1_HSA_HEK293_ZNF189	ZNF189	ZFHX2	0.03245829630527706
MM1_HSA_HEK293_ZNF2	ZNF2	ZNF654	0.036496836075942396
MM1_HSA_HEK293_ZNF263	ZNF263	SP2	0.039594353461868965
MM1_HSA_HEK293_ZNF263	ZNF263	MAZ	0.03287783965804254
MM1_HSA_HEK293_ZNF280D	ZNF280D	ZNF580	0.1968595041322314
MM1_HSA_HEK293_ZNF341	ZNF341	ZNF189	0.05274675342473745
MM1_HSA_HEK293_ZNF341	ZNF341	SP2	0.05664155788310025
MM1_HSA_HEK293_ZNF362	ZNF362	ZNF770	0.03682757643968091
MM1_HSA_HEK293_ZNF362	ZNF362	ZNF654	0.056266782423597735
MM1_HSA_HEK293_ZNF362	ZNF362	CTCF	0.05990941080094194
MM1_HSA_HEK293_ZNF423	ZNF423	MAZ	0.03184765541529025
MM1_HSA_HEK293_ZNF449	ZNF449	ZFHX2	0.03503507386084587
MM1_HSA_HEK293_ZNF449	ZNF449	SP2	0.04156914169919043
MM1_HSA_HEK293_ZNF449	ZNF449	KLF1	0.039846983535583406
MM1_HSA_HEK293_ZNF449	ZNF449	MAZ	0.04259891759268405
MM1_HSA_HEK293_ZNF580	ZNF580	ZNF580	0.11100659612029432
MM1_HSA_HEK293_ZNF580	ZNF580	ZNF146	0.22635765605257532
MM1_HSA_HEK293_ZNF580	ZNF580	ZNF280D	0.07268726590416026
MM1_HSA_HEK293_ZNF610	ZNF610	WT1	0.05816276400367309
MM1_HSA_HEK293_ZNF610	ZNF610	ZNF263	0.05900125327788701
MM1_HSA_HEK293_ZNF623	ZNF623	ZNF664	0.18496841511025444
MM1_HSA_HEK293_ZNF623	ZNF623	ZNF558	0.15058622627159396
MM1_HSA_HEK293_ZNF629	ZNF629	ZNF629	0.15684065503418154
MM1_HSA_HEK293_ZNF629	ZNF629	ATF2	0.20545042656959872
MM1_HSA_HEK293_ZNF629	ZNF629	ZBTB21	0.13498435766305958
MM1_HSA_HEK293_ZNF629	ZNF629	ZFHX2	0.039167505148375206
MM1_HSA_HEK293_ZNF629	ZNF629	WT1	0.05045384935560959
MM1_HSA_HEK293_ZNF692	ZNF692	ZFHX2	0.03479292968882072
MM1_HSA_HEK293_ZNF692	ZNF692	SP2	0.043401685574349265
MM1_HSA_HeLa-S3_CEBPB	CEBPB	JUN	0.212366348612953
MM1_HSA_HeLa-S3_CEBPB	CEBPB	JUND	0.256577146401478
