peak_id	comparison	SqDiff
MM1_HSA_GM12878_NFYB	FOS	0.16143736493020422
MM1_HSA_GM12878_NFYB	SP1	0.10289514399492342
MM1_HSA_GM12878_NFYB	IRF3	0.49853525094672796
MM1_HSA_GM12878_NFYB	NFYA	0.4670323936733203
MM1_HSA_GM12878_NR2C1	NR2C1	0.002348900592184798
MM1_HSA_GM12878_NR2F1	NR2F1	4.464843076006538e-5
MM1_HSA_GM12878_NRF1	NRF1	0.0027700831024930752
MM1_HSA_GM12878_NRF1	SP1	0.0027700831024930752
MM1_HSA_GM12878_NRF1	ELF1	0.0029353287544950967
MM1_HSA_GM12878_PBX3	PBX3	0.047011669677967896
MM1_HSA_GM12878_PBX3	PKNOX1	0.08532654320987654
MM1_HSA_GM12878_PKNOX1	PKNOX1	0.010074453932424213
MM1_HSA_GM12878_PKNOX1	PBX3	0.05682621671258036
MM1_HSA_GM12878_PKNOX1	NFYB	0.10158568911604578
MM1_HSA_GM12878_POU2F2	POU2F2	7.66214007311778e-4
MM1_HSA_GM12878_RELB	RELB	0.0126975616463707
MM1_HSA_GM12878_REST	REST	4.899223372781085e-5
MM1_HSA_GM12878_RUNX3	RUNX3	0.024348919003157155
MM1_HSA_GM12878_RUNX3	CBFB	0.14645146172362275
MM1_HSA_GM12878_RUNX3	SPI1	0.03561070950760022
MM1_HSA_GM12878_SIX5	GABPA	0.031575917882016066
MM1_HSA_GM12878_SP1	SP1	4.457344305481771e-4
MM1_HSA_GM12878_SP1	MAZ	0.010743246843198892
MM1_HSA_GM12878_SP1	EGR1	0.009095755248648127
MM1_HSA_GM12878_SP1	ELF1	0.011822531747948832
MM1_HSA_GM12878_SP1	NFYB	0.002137958074409911
MM1_HSA_GM12878_SPI1	SPI1	3.6901928474964953e-4
MM1_HSA_GM12878_SPI1	IRF4	0.09487939322411115
MM1_HSA_GM12878_SPI1	BCL11A	0.02313788730825914
MM1_HSA_GM12878_SPI1	ETV6	0.014542461866932322
MM1_HSA_GM12878_SPI1	ELF1	0.05440564472915918
MM1_HSA_GM12878_SRF	SRF	0.001513354721214381
MM1_HSA_GM12878_TAF1	ELF1	0.003058039032470429
MM1_HSA_GM12878_TCF3	TCF3	0.0035180944264917215
MM1_HSA_GM12878_TCF3	TCF12	0.017319056644477318
MM1_HSA_GM12878_TP73	TP73	3.345726525904481e-4
MM1_HSA_GM12878_TRIM22	TRIM22	0.009245562130177515
MM1_HSA_GM12878_TRIM22	CTCF	0.009245562130177515
MM1_HSA_GM12878_TRIM22	ZBTB2	0.02227667631989307
MM1_HSA_GM12878_USF1	USF1	0.011270446242610796
MM1_HSA_GM12878_USF1	USF2	0.13653979873550612
MM1_HSA_GM12878_USF1	ATF3	0.10868093792275757
MM1_HSA_GM12878_USF1	NFE2	0.07145766037653913
MM1_HSA_GM12878_USF1	MAX	0.13172442482302246
MM1_HSA_GM12878_USF2	USF2	0.011225713440964409
MM1_HSA_GM12878_USF2	USF1	0.015245088177251193
MM1_HSA_GM12878_USF2	ATF3	0.014354913062394609
MM1_HSA_GM12878_USF2	NFE2	0.01591005673903529
MM1_HSA_GM12878_USF2	MAX	0.03510692520775623
MM1_HSA_GM12878_YY1	YY1	0.005705596840595447
MM1_HSA_GM12878_YY1	TAF1	0.12963749977037367
MM1_HSA_GM12878_ZBTB2	ZBTB2	0.05449028517784428
MM1_HSA_GM12878_ZBTB2	CTCF	0.08631706242558769
MM1_HSA_GM12878_ZBTB2	TRIM22	0.06917835416566483
MM1_HSA_GM12878_ZBTB2	ELF1	0.053569292354754355
MM1_HSA_GM12878_ZBTB2	SPI1	0.010948584528992698
MM1_HSA_GM12878_ZBTB40	ZBTB40	1.3653853542866233e-4
MM1_HSA_GM12878_ZNF143	ZNF143	0.015149041211502828
MM1_HSA_GM12878_ZNF143	SIX5	0.037676939787524906
MM1_HSA_GM12878_ZNF143	CTCF	0.021380878011339637
MM1_HSA_GM12878_ZNF143	ZBTB2	0.0224001055926962
MM1_HSA_GM12878_ZNF143	ELF1	0.0062759318603474445
MM1_HSA_GM12878_ZNF24	ZNF24	1.2168063489615616e-5
MM1_HSA_GM12878_ZNF24	ZBTB2	0.04262034360106624
MM1_HSA_GM12878_ZNF274	ZNF274	8.863638014835703e-5
MM1_HSA_GM12878_ZNF592	ZNF592	0.0033963701624018616
MM1_HSA_GM12878_ZNF597	ZNF597	0.00702170917484889
MM1_HSA_GM12878_ZNF597	RELB	0.048554781824983864
MM1_HSA_GM12878_ZSCAN29	ZSCAN29	0.0010685976040792854
MM1_HSA_H1-hESC_ATF2	ATF2	0.040633572755375845
MM1_HSA_H1-hESC_ATF2	CREB1	0.06816857702344048
MM1_HSA_H1-hESC_ATF2	JUN	0.017868760737294636
MM1_HSA_H1-hESC_ATF2	CTCF	0.012449219021655503
MM1_HSA_H1-hESC_ATF3	ATF3	0.022058605573508833
MM1_HSA_H1-hESC_ATF3	USF1	0.025124843549795543
MM1_HSA_H1-hESC_ATF3	USF2	0.06696997915139212
MM1_HSA_H1-hESC_ATF3	MAX	0.05902190446588957
MM1_HSA_H1-hESC_ATF3	ZNF143	0.07110090036319594
MM1_HSA_H1-hESC_BACH1	BACH1	0.00751882344771216
MM1_HSA_H1-hESC_BACH1	MAFK	0.025770781097536423
MM1_HSA_H1-hESC_BACH1	JUND	0.07514587625242396
MM1_HSA_H1-hESC_BCL11A	BCL11A	0.003071268173548165
MM1_HSA_H1-hESC_CEBPB	CEBPB	1.657767800582156e-4
MM1_HSA_H1-hESC_CEBPB	CTCF	0.2643839612107999
MM1_HSA_H1-hESC_CEBPB	TEAD4	0.23527964301324966
MM1_HSA_H1-hESC_CREB1	CREB1	0.007797838586486052
MM1_HSA_H1-hESC_CREB1	ATF2	0.05347105389846249
MM1_HSA_H1-hESC_CREB1	CTCF	0.021213278923234782
MM1_HSA_H1-hESC_CREB1	JUN	0.06000998820489835
MM1_HSA_H1-hESC_CREB1	SP1	0.054596168987803534
MM1_HSA_H1-hESC_CTCF	CTCF	2.077055177713507e-5
MM1_HSA_H1-hESC_CTCF	ZNF143	0.010669033717096824
MM1_HSA_H1-hESC_CTCF	TEAD4	0.00299027518645793
MM1_HSA_H1-hESC_CTCF	YY1	0.002439280734361096
MM1_HSA_H1-hESC_CTCF	USF1	0.0028176230385474803
MM1_HSA_H1-hESC_E2F6	E2F6	4.335849283386345e-5
MM1_HSA_H1-hESC_E2F6	MAX	0.012374999949998394
MM1_HSA_H1-hESC_E2F6	CTCF	0.05846084508878425
MM1_HSA_H1-hESC_E2F6	USF1	0.04032436817972622
MM1_HSA_H1-hESC_EGR1	EGR1	4.6488084655463285e-4
MM1_HSA_H1-hESC_EGR1	CTCF	0.012150922958863284
MM1_HSA_H1-hESC_GABPA	GABPA	3.926265096808892e-4
MM1_HSA_H1-hESC_GABPA	YY1	0.005364015076373735
MM1_HSA_H1-hESC_GABPA	CTCF	0.02048286309787094
MM1_HSA_H1-hESC_GABPA	NRF1	0.005367728206924353
MM1_HSA_H1-hESC_GABPA	ZNF143	0.005275544587267701
MM1_HSA_H1-hESC_JUN	JUN	0.02563195525969623
MM1_HSA_H1-hESC_JUN	ATF2	0.04353678184092851
MM1_HSA_H1-hESC_JUND	JUND	0.0017078354506691923
MM1_HSA_H1-hESC_MAFK	MAFK	0.003838483280076666
MM1_HSA_H1-hESC_MAFK	BACH1	0.041988181901146344
MM1_HSA_H1-hESC_MAX	MAX	0.005285223921306812
MM1_HSA_H1-hESC_MAX	USF1	0.04061602699724338
MM1_HSA_H1-hESC_MAX	MYC	0.32037015269807534
MM1_HSA_H1-hESC_MAX	USF2	0.1753078381168379
MM1_HSA_H1-hESC_MAX	CTCF	0.04557776229858268
MM1_HSA_H1-hESC_MXI1	MXI1	4.011942643829411e-4
MM1_HSA_H1-hESC_MXI1	MAX	0.0010910903416705632
MM1_HSA_H1-hESC_MXI1	MYC	0.037009095223583414
MM1_HSA_H1-hESC_MXI1	USF1	2.657431724375882e-5
MM1_HSA_H1-hESC_MXI1	USF2	0.027584708052797474
MM1_HSA_H1-hESC_MYC	MYC	0.002838990038925042
MM1_HSA_H1-hESC_MYC	MAX	0.005118228443802466
MM1_HSA_H1-hESC_MYC	MXI1	0.046450976915974135
MM1_HSA_H1-hESC_MYC	USF1	2.4616701033820126e-4
MM1_HSA_H1-hESC_MYC	USF2	0.008098791809080512
MM1_HSA_H1-hESC_NRF1	NRF1	7.929969668449708e-5
MM1_HSA_H1-hESC_NRF1	YY1	0.007359732745704816
MM1_HSA_H1-hESC_NRF1	CTCF	0.001977742098103177
MM1_HSA_H1-hESC_NRF1	SP1	0.006679396474652597
MM1_HSA_H1-hESC_NRF1	GABPA	0.006611160284183935
MM1_HSA_H1-hESC_POU5F1	POU5F1	0.006810453058414199
MM1_HSA_H1-hESC_REST	REST	3.1439800292876733e-4
MM1_HSA_H1-hESC_SOX2	SOX2	0.0015011151159065683
MM1_HSA_H1-hESC_SP1	SP1	0.0022374984134822724
MM1_HSA_H1-hESC_SP1	SP4	0.05654382404151406
MM1_HSA_H1-hESC_SP1	SP2	0.02369887786298296
MM1_HSA_H1-hESC_SP1	YY1	0.045155761040420295
MM1_HSA_H1-hESC_SP2	SP2	0.0061268734093694
MM1_HSA_H1-hESC_SP2	SP1	0.02450749363747762
MM1_HSA_H1-hESC_SP2	SP4	0.02905112876175402
MM1_HSA_H1-hESC_SP2	GABPA	0.05303948576675849
MM1_HSA_H1-hESC_SP4	SP4	0.0035795164000292207
MM1_HSA_H1-hESC_SP4	SP1	0.0035795164000292207
MM1_HSA_H1-hESC_SP4	NRF1	0.00510204081632653
MM1_HSA_H1-hESC_SP4	SP2	0.004253308128544423
MM1_HSA_H1-hESC_SP4	YY1	0.008264462809917356
MM1_HSA_H1-hESC_SRF	SRF	1.3546055614841837e-4
MM1_HSA_H1-hESC_TAF1	NRF1	0.044895939007467696
MM1_HSA_H1-hESC_TAF1	GABPA	0.04331469504496379
MM1_HSA_H1-hESC_TEAD4	TEAD4	3.381903045202708e-4
MM1_HSA_H1-hESC_USF1	USF1	0.020299551284140648
MM1_HSA_H1-hESC_USF1	USF2	0.1286147920740062
MM1_HSA_H1-hESC_USF1	MAX	0.15357095784968636
MM1_HSA_H1-hESC_USF1	ATF3	0.2372223585620664
MM1_HSA_H1-hESC_USF1	CTCF	0.04696661632818616
MM1_HSA_H1-hESC_USF2	USF2	0.029668238955417033
MM1_HSA_H1-hESC_USF2	USF1	0.03265278957025317
MM1_HSA_H1-hESC_USF2	ATF3	0.16307020245413473
MM1_HSA_H1-hESC_USF2	MAX	0.15026649366728773
MM1_HSA_H1-hESC_USF2	ZNF143	0.02419633920439189
MM1_HSA_H1-hESC_YY1	YY1	0.009775519981328484
MM1_HSA_H1-hESC_YY1	TAF1	0.20902863028945728
MM1_HSA_H1-hESC_YY1	CTCF	0.04722263708752741
MM1_HSA_H1-hESC_YY1	NRF1	0.3451675743025985
MM1_HSA_H1-hESC_YY1	USF1	0.08879571051140288
MM1_HSA_H1-hESC_ZNF143	ZNF143	0.032224407770902276
MM1_HSA_H1-hESC_ZNF143	SIX5	0.0853321053687395
MM1_HSA_H1-hESC_ZNF143	CTCF	0.0644108080274737
MM1_HSA_H9_FOXH1	FOXH1	0.0011030082900288498
MM1_HSA_H9_FOXH1	SMAD2	0.02427281690733127
MM1_HSA_H9_SMAD2	SMAD2	0.026080876795162536
MM1_HSA_H9_SOX2	SOX2	4.782813176900661e-4
MM1_HSA_HCT116_ATF3	ATF3	0.0703971565568327
MM1_HSA_HCT116_ATF3	JUND	0.1202140869352913
MM1_HSA_HCT116_ATF3	FOSL1	0.11398028263386573
MM1_HSA_HCT116_ATF3	CEBPB	0.05980904893813481
MM1_HSA_HCT116_CEBPB	CEBPB	9.384055993348698e-4
MM1_HSA_HCT116_CEBPB	FOSL1	0.1261919764695669
MM1_HSA_HCT116_CEBPB	JUND	0.14522835819132981
MM1_HSA_HCT116_CEBPB	ATF3	0.17052916675623617
MM1_HSA_HCT116_CEBPB	CTCF	0.22988009143003052
MM1_HSA_HCT116_CTCF	CTCF	8.280566195097734e-6
MM1_HSA_HCT116_CTCF	YY1	0.012651319445110148
MM1_HSA_HCT116_CTCF	TCF7L2	0.0065348449922012705
MM1_HSA_HCT116_CTCF	ELF1	0.016007678552904248
MM1_HSA_HCT116_CTCF	EGR1	0.01604554086545943
MM1_HSA_HCT116_EGR1	EGR1	5.103376165551415e-5
MM1_HSA_HCT116_EGR1	FOSL1	0.006806130102827605
MM1_HSA_HCT116_EGR1	JUND	0.00633427375024782
MM1_HSA_HCT116_EGR1	ELF1	0.03670198660548013
MM1_HSA_HCT116_EGR1	CTCF	0.01078439977159849
MM1_HSA_HCT116_ELF1	ELF1	2.2113497851059831e-4
MM1_HSA_HCT116_ELF1	YY1	0.013375753810649739
MM1_HSA_HCT116_ELF1	FOSL1	0.006748342931409555
MM1_HSA_HCT116_ELF1	JUND	0.006962759854415907
MM1_HSA_HCT116_ELF1	CTCF	0.009050602152007328
MM1_HSA_HCT116_FOSL1	FOSL1	0.021847875783341738
MM1_HSA_HCT116_FOSL1	JUND	0.032641611833282146
MM1_HSA_HCT116_FOSL1	ATF3	0.017681563927790005
MM1_HSA_HCT116_FOSL1	TCF7L2	0.013741440539290557
MM1_HSA_HCT116_FOSL1	TEAD4	0.01604632979245227
MM1_HSA_HCT116_JUND	JUND	0.007999703281658789
MM1_HSA_HCT116_JUND	FOSL1	0.009849589223557215
MM1_HSA_HCT116_JUND	ATF3	0.01349975810952971
MM1_HSA_HCT116_JUND	TCF7L2	0.009930072704037911
MM1_HSA_HCT116_JUND	TEAD4	0.016039607032891583
MM1_HSA_HCT116_MAX	MAX	0.026119313091664313
MM1_HSA_HCT116_MAX	USF1	0.07524739468758701
MM1_HSA_HCT116_MAX	JUND	0.01939481901561296
MM1_HSA_HCT116_MAX	FOSL1	0.022430515015876517
MM1_HSA_HCT116_MAX	CTCF	0.006711569017489611
MM1_HSA_HCT116_REST	REST	2.4377390891178305e-4
MM1_HSA_HCT116_SRF	SRF	0.0027831446513994535
MM1_HSA_HCT116_TCF7L2	TCF7L2	0.0019639641805517362
MM1_HSA_HCT116_TEAD4	TEAD4	0.0014819771985812612
MM1_HSA_HCT116_TEAD4	FOSL1	0.02382468214546407
MM1_HSA_HCT116_TEAD4	JUND	0.022045874942983858
MM1_HSA_HCT116_USF1	USF1	0.010369574965882956
MM1_HSA_HCT116_USF1	MAX	0.08182938915239367
MM1_HSA_HCT116_USF1	JUND	0.07223962517386542
MM1_HSA_HCT116_USF1	FOSL1	0.0836493376817732
MM1_HSA_HCT116_USF1	ELF1	0.06628385279870508
MM1_HSA_HCT116_YY1	YY1	1.7016599188974824e-4
MM1_HSA_HCT116_YY1	CTCF	0.0094691907395074
MM1_HSA_HCT116_YY1	ELF1	0.03254832711911959
MM1_HSA_HCT116_YY1	EGR1	0.04140751757706869
MM1_HSA_HCT116_YY1	USF1	0.003512521783422842
MM1_HSA_HCT116_ZNF274	ZNF274	9.729307018566946e-6
MM1_HSA_HCT116_ZNF274	TEAD4	0.007744176534285855
MM1_HSA_HEK293_ATF2	ATF2	0.007674453446522252
MM1_HSA_HEK293_ATF2	ZNF629	0.026463689544648724
MM1_HSA_HEK293_ATF2	ZBTB21	0.08475664187274559
MM1_HSA_HEK293_ATF2	ZFHX2	0.038942896886416535
MM1_HSA_HEK293_ATF2	SP2	0.13263700952107035
MM1_HSA_HEK293_BCL6B	BCL6B	1.9051474030070772e-4
MM1_HSA_HEK293_CTCF	CTCF	0.01903102692178104
MM1_HSA_HEK293_CTCF	ZNF654	0.039866481272763425
MM1_HSA_HEK293_CTCF	ZNF2	0.004768894178224006
MM1_HSA_HEK293_CTCF	ZNF263	0.002280032310167607
MM1_HSA_HEK293_CTCF	ZFHX2	0.008396599684817463
MM1_HSA_HEK293_EGR2	EGR2	3.7489361183465933e-4
MM1_HSA_HEK293_EGR2	ZFHX2	5.72678860855551e-4
MM1_HSA_HEK293_EGR2	KLF1	0.021833202430637924
MM1_HSA_HEK293_EGR2	SP2	0.10840702320333619
MM1_HSA_HEK293_EGR2	MAZ	0.09571463729259531
MM1_HSA_HEK293_GFI1B	GFI1B	4.980460168805654e-4
MM1_HSA_HEK293_IKZF3	IKZF3	9.149008835636798e-4
MM1_HSA_HEK293_IKZF3	SP2	0.011306280155703606
MM1_HSA_HEK293_IKZF3	MAZ	0.015123933990317981
MM1_HSA_HEK293_IKZF3	ZNF263	0.025187443034165844
MM1_HSA_HEK293_KLF1	KLF1	7.690943527511205e-4
MM1_HSA_HEK293_KLF1	ZFHX2	0.015859331153761657
MM1_HSA_HEK293_KLF1	KLF9	0.06484319832558685
MM1_HSA_HEK293_KLF1	EGR2	0.014237054842020955
MM1_HSA_HEK293_KLF1	SP2	0.06901551781933278
MM1_HSA_HEK293_KLF10	KLF10	0.009474309372737078
